depth,cal BP,density,accrate,weight,lycadd,lyc,Abies,Pinus,Juniperus,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Dec_Querc,Mar_Querc,Ever_Querc,Pistacia,Rhamnus,Phillyrea,Buxus,Sambucus,Viburnum,Sanguisorba,Tamarix,Thymelaeaceae,Ephedra distachya,Ephedra fragilis,Ericaceae,Hereda helix,Ilex aquifolium,Viscum album,Lonicera,Vitis,Oleaceae,Myrtus,Olea,,Poaceae,Lygeum spartum,Artemisia,Cichorioideae,Asteroideae,Cardueae,Rubiaceae,Centaurea,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Saxifragaceae,Fabaceae,Genista,Lotus type,Trifolium type,Rosaceae,Ribes,Potentilla,Boraginaceae,Sedum,Helianthemum,Linum,Corydalis,Lamiaceae,Urticaceae,Rumex,Plumbaginaceae,Berberidaceae,Euphorbiaceae,Primulaceae,Scrophulariaceae,Papaver,Geraniaceae,Campanulaceae,Dipsacaceae,Malvaceae,Violaceae,Convolvulaceae,Asphodelus,Liliaceae,Iridaceae,Erodium,Cytisus,Crassulaceae,Lycium,Ranunculaceae,Cistaceae,Orobanchaceae,Galium,Apiaceae,Valerianaceae,Cerealia,Polygonaceae,Pinguicula,Droseraceae,Cannabis,Cyperaceae,Epilobium,Aristolochia,Ranunculus,Thalictrum,Lythrum,Juncus,Utricularia,Typha,Pedicularis,Sparganium,Lemna,Nymphaea,Myriophyllum,Potamogeton,Isoetes,Asplenium,Polypodium,Monolete ornametnada,Monolete indeterminada,Botrychium,Osmunda,Pteris,Selaginella,Trilete ornamentada,Trilete indeterminada,Chaetomium,Podospora,Sordaria,Sporormiella
646.5,7175.61,1.8,0.16,3.5,24200,4,1,85,1,0,53,15,0,0,1,0,1,0,2,0,4,0,0,28,24,10,1,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,2,1,0,2,0,1,31,1,0,0,4,1,0,0,1,0,0,0,20,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
656.5,7237.35,1.9,0.16,4.4,24200,16,0,114,3,0,41,23,2,0,2,0,0,0,2,0,2,0,0,30,12,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,6,0,2,1,0,0,1,2,0,1,0,1,18,0,0,1,7,0,0,0,1,0,0,0,11,9,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
666.5,7299.09,1.9,0.16,5,24200,1,0,72,1,0,59,11,1,0,3,2,1,0,0,0,10,0,0,28,40,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,8,0,2,0,0,0,2,3,0,5,1,3,15,0,1,3,10,0,0,0,3,0,0,0,8,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676.5,7360.83,1.9,0.16,4,24200,96,0,116,3,0,27,28,0,0,5,2,4,0,0,0,4,0,0,18,21,12,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,0,2,2,0,0,1,0,1,0,0,0,0,0,9,8,0,0,2,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,2,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
686.5,7425.06,2.1,0.16,4,24200,14,0,108,7,0,42,21,0,0,2,1,1,0,0,0,4,0,0,35,31,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,0,5,2,2,0,1,0,0,5,0,2,0,2,12,0,1,0,4,0,0,0,0,0,0,0,6,4,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,1,0,0,2,0,2,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
700,7512.15,1.9,0.16,3.8,24200,56,0,110,3,0,49,21,0,0,0,0,1,0,0,0,3,0,0,20,24,12,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,11,0,4,1,4,0,0,0,2,1,0,2,0,0,15,0,0,0,10,0,0,0,0,1,0,0,4,3,0,0,0,1,3,4,0,0,0,0,0,0,0,0,2,1,0,0,4,0,4,1,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
710,7576.66,1.9,0.16,4.1,24200,10,0,125,1,0,40,14,1,0,2,1,0,0,1,0,1,0,0,18,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,3,2,2,0,0,1,2,5,0,5,0,1,19,2,1,5,6,1,0,0,1,6,0,0,4,1,0,0,4,0,2,5,0,0,1,0,0,0,3,0,1,0,0,0,2,0,2,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
720,7641.17,1.8,0.16,4.7,24200,1,0,105,1,0,39,15,0,0,0,1,1,0,1,0,5,0,0,22,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,7,1,2,0,1,1,1,2,1,1,0,1,22,3,0,1,4,1,1,0,0,6,0,0,14,2,0,0,0,0,1,2,1,0,0,0,0,0,1,0,2,0,0,0,3,0,7,4,0,0,6,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
730,7705.68,1.7,0.16,3.1,24200,1,0,71,1,0,58,14,0,0,3,4,0,0,1,0,2,0,0,16,28,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,11,0,1,0,2,2,3,4,0,6,0,1,29,1,2,4,1,1,0,0,1,2,0,0,6,2,1,0,1,0,4,1,1,0,0,0,0,0,1,0,1,1,0,0,4,0,7,0,0,0,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
740,7770.19,1.8,0.16,3.5,24200,2,0,85,2,0,45,22,0,0,5,1,0,0,0,0,1,0,0,31,20,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,2,1,1,0,5,0,3,1,1,5,1,0,22,0,2,1,9,0,1,2,1,6,0,0,9,5,2,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4,1,0,0,11,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
