depth,cal BP,density,accrate,weight,lycadd,lyc,CHAR,Abies,Pinus,Juniperus,Betula,Corylus,Carpinus,Castanea,Acer,Salix,Alnus,Fraxinus,Fagus,Tilia,Populus,Juglans,Dec_Querc,Ever_Querc,Ulmus,Sorbus,Rhamnus,Buxus,Tamarix,Ephedra_dist,Ephedra frag,Ericaceae,Phillyrea,Other Oleaceae,Myrtus,Pistacia,Olea,Prunus_type,Genista,Poaceae,Artemisia,Cicho,Asteroideae,Carduaceae,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Fabaceae other,Fabaceae trifolium type,Fabaceae lotus type,Cistaceae,Linum,Lamiaceae,Rumex,Galium,Scrophu,Geraniaceae,Iridaceae,Liliaceae,Saxifragaceae_conc,Saxifragaceae,Rosaceae,Ranunculaceae,Poligonaceae,Apiaceae,Borag,Rubiaceae,Crassulaceae,Sedum,Urtica,Primulaceae,Campanul,Helianthe,Asphodelus,Ranunculus,Thalictrum,Cype,Typha,Myriophy,Potamoge,Callitri,Juncus,Pterydo_mon_orn,Ptheridophyte monolete lisa,Pteridophyte trilete,Glomus,Sordariales,total,herb
103.12,1462.68,1.7,0.07,2.6,41696,77,82511.89,397.004163564673,2427.83315410704,45.8081727190008,45.8081727190008,198.502081782337,0,0,0,0,91.6163454380015,0,0,0,0,0,30.5387818126672,61.0775636253343,0,0,0,0,0,0,30.5387818126672,152.693909063336,0,0,0,0,45.8081727190008,0,0,167.963299969669,259.579645407671,0,0,0,198.502081782337,0,0,0,0,137.424518157002,,0,0,0,91.6163454380015,0,0,0,0,0,0,0,0,0,45.8081727190008,0,0,0,0,0,0,0,0,0,0,0,0,154.163398285314,0,0,335.926599939339,0,0,0,0,15.2693909063336,15.2693909063336,0,0,4428.12336283674,900.894063473681
112.47,1591.58,1.8,0.07,1.3,41696,95,99116.33,488.184094570161,6115.14813198413,128.469498571095,51.387799428438,976.368189140323,0,0,0,0,488.184094570161,25.693899714219,77.0816991426571,25.693899714219,0,25.693899714219,154.163398285314,102.775598856876,0,0,0,0,25.693899714219,0,25.693899714219,205.551197713752,0,0,0,0,25.693899714219,0,0,179.857297999533,976.368189140323,0,154.163398285314,0,256.93899714219,0,0,25.693899714219,0,308.326796570628,2,25.693899714219,0,0,77.0816991426571,0,0,231.245097427971,0,0,0,0,0,25.693899714219,0,0,0,0,0,0,0,0,0,0,0,0,0,264.607393217889,176.404928811926,0,0,0,0,0,51.387799428438,25.693899714219,77.0816991426571,0,179.857297999533,11204.5402753995,2263.06317485127
114.81,1623.56,1.8,0.07,2.5,41696,52,139182.39,882.02464405963,6615.18483044722,176.404928811926,132.303696608944,882.02464405963,0,0,0,132.303696608944,264.607393217889,0,88.202464405963,44.1012322029815,0,0,352.809857623852,485.113554232797,0,0,0,0,0,0,308.708625420871,308.708625420871,0,44.1012322029815,0,0,132.303696608944,0,0,441.012322029815,1190.7332694805,0,0,0,264.607393217889,0,0,0,0,441.012322029815,,0,0,0,88.202464405963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335.169364742659,167.58468237133,0,573.31601863876,44.1012322029815,0,0,0,44.1012322029815,0,0,0,13274.4708930974,2425.56777116398
122.99,1736.72,1.9,0.07,1.5,41696,79,188704.87,586.546388299654,8672.50731271631,83.7923411856648,167.58468237133,1256.88511778497,0,0,0,0,251.377023556995,125.688511778497,41.8961705928324,83.7923411856648,0,0,377.065535335492,83.7923411856648,0,0,0,0,0,41.8961705928324,125.688511778497,502.754047113989,0,0,0,0,0,0,0,377.065535335492,1047.40426482081,0,167.58468237133,0,209.480852964162,125.688511778497,0,41.8961705928324,0,251.377023556995,1,0,0,0,251.377023556995,0,0,209.480852964162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.061962239655,97.0309811198275,0,83.7923411856648,0,0,125.688511778497,83.7923411856648,125.688511778497,125.688511778497,0,209.480852964162,15083.6214134197,2682.35491794128
126.49,1784.86,1.9,0.07,3.1,41696,80,128387.37,1503.98020735733,7519.90103678663,48.5154905599138,291.092943359483,970.309811198275,0,0,0,48.5154905599138,339.608433919396,0,0,0,0,0,97.0309811198275,679.216867838793,0,0,0,0,0,0,48.5154905599138,339.608433919396,0,0,0,0,388.12392447931,0,0,339.608433919396,1552.49569791724,0,0,0,485.154905599138,0,0,0,0,727.732358398707,,0,0,0,485.154905599138,97.0309811198275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.81796900604,0,0,242.577452799569,0,0,0,0,48.5154905599138,0,0,0,15961.5963942116,3687.17728255345
134.68,1897.49,1.9,0.07,2,41696,85,127366.17,347.726953509059,5169.54070883468,115.90898450302,92.7271876024158,579.544922515099,0,0,0,0,324.545156608455,69.5453907018119,69.5453907018119,23.181796900604,0,0,46.3635938012079,69.5453907018119,0,0,0,0,0,0,46.3635938012079,139.090781403624,0,0,0,0,0,0,0,46.3635938012079,811.362891521139,0,46.3635938012079,0,324.545156608455,46.3635938012079,0,0,0,417.272344210871,,0,0,0,69.5453907018119,0,0,92.7271876024158,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3635938012079,0,0,0,0,0,101.454452317937,169.090753863229,0,115.90898450302,0,0,0,92.7271876024158,23.181796900604,46.3635938012079,0,208.636172105436,8994.53719743434,1900.90734584952
138.18,1945.59,1.8,0.07,3.2,41696,78,144815.17,1217.45342781525,5749.08563134978,33.8181507726458,202.908904635875,743.999316998207,0,0,0,33.8181507726458,270.545206181166,0,101.454452317937,101.454452317937,0,0,101.454452317937,507.272261589687,0,0,0,0,0,0,33.8181507726458,338.181507726458,0,0,0,0,101.454452317937,0,0,169.090753863229,1352.72603090583,0,0,0,371.999658499104,0,0,0,0,371.999658499104,,0,0,33.8181507726458,270.545206181166,67.6363015452916,0,0,0,0,0,0,0,0,0,0,67.6363015452916,0,0,0,0,0,0,0,0,0,0,43.6418443675338,43.6418443675338,21.8209221837669,473.454110817041,0,0,0,0,67.6363015452916,67.6363015452916,0,0,12242.1705796978,2705.45206181166
146.36,2054.72,1.9,0.07,1.6,41696,75,132615.29,349.13475494027,2945.82449480853,196.388299653902,43.6418443675338,1003.76242045328,0,0,0,0,261.851066205203,0,21.8209221837669,43.6418443675338,0,65.4627665513006,43.6418443675338,87.2836887350675,0,0,0,0,0,65.4627665513006,21.8209221837669,283.671988388969,0,0,0,0,21.8209221837669,0,0,130.925533102601,1134.68795355588,0,196.388299653902,0,436.418443675338,109.104610918834,0,0,0,261.851066205203,4,0,0,21.8209221837669,152.746455286368,0,0,152.746455286368,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8209221837669,0,0,0,0,0,239.545234639574,47.9090469279148,0,87.2836887350675,0,0,0,21.8209221837669,21.8209221837669,109.104610918834,0,87.2836887350675,8077.74120799375,2622.51066205202
149.87,2107.09,1.8,0.07,3.3,41696,136,121693.84,1820.54378326076,7234.26608611514,47.9090469279148,95.8180938558297,1006.08998548621,0,0,0,0,383.272375423319,0,95.8180938558297,47.9090469279148,0,0,239.545234639574,862.362844702467,0,0,0,0,0,0,0,431.181422351234,0,0,0,0,0,0,0,239.545234639574,1389.36236090953,0,0,0,574.908563134978,0,0,0,0,574.908563134978,,0,0,47.9090469279148,431.181422351234,0,0,143.727140783745,0,0,0,0,0,0,0,0,47.9090469279148,0,0,0,0,0,0,0,0,0,0,60.6785001901539,12.1357000380308,0,622.817610062893,0,0,0,0,95.8180938558297,0,0,0,15714.1673923561,3449.45137880987
158.05,2219.7,1.8,0.07,2.2,41696,76,188738.67,351.935301102893,2111.61180661736,72.8142002281847,36.4071001140924,594.649301863508,0,0,0,0,97.0856003042463,12.1357000380308,12.1357000380308,12.1357000380308,0,60.6785001901539,84.9499002662155,48.5428001521231,24.2714000760616,0,0,0,12.1357000380308,0,12.1357000380308,72.8142002281847,0,0,0,0,0,0,0,72.8142002281847,436.885201369108,0,12.1357000380308,0,84.9499002662155,24.2714000760616,0,36.4071001140924,0,194.171200608493,,0,0,0,48.5428001521231,0,0,36.4071001140924,0,0,0,0,0,12.1357000380308,12.1357000380308,0,0,0,0,0,0,24.2714000760616,0,0,0,0,0,65.1495475725863,97.7243213588794,0,121.357000380308,0,0,0,0,24.2714000760616,36.4071001140924,24.2714000760616,48.5428001521231,4611.5660144517,995.127403118524
