depth,cal BP,density,accrate,weight,lycadd,lyc,CHAR,Abies,Pinus,Juniperus,Taxus,Betula,Corylus,Alnus,Carpinus,Salix,Ulmus,Populus,Acer,Fraxinus,Fagus,Tilia,Juglans,Castanea,Dec_Querc,Mar_Querc,Ever_Querc,Pistacia,Rhamnus,Phillyrea,Buxus,Sambucus,Viburnum,Tamarix,Thymelaeaceae,Ephedra dist,Ephedra frag,Ericaceae,Hereda helix,Ilex aquifolium,Viscum album,Lonicera,Vitis,Oleaceae,Myrtus,Olea,Poaceae,Lygeum,Artemisia,Cicho,Astroi,Carduaceae,Rubiac,Centaurea,Chenopo,Caryphy,Plantago,Brassicac,Genitana,Saxifrag,Fabaceae,Genista,Lotus type,Trifolium type,Rosaceae,Potentilla,Boraginac,Sedum,Helianthem,Linum,Corydalis,Lamiaceae,Urticaceae,Rumex,Plumbagi,Berberidaceae,Euphorbiac,Primulac,Scrophulari,Papaver,Geraniac,Campanulac,Dipsacacea,Malvaceae,Violaceae,Convolvulaceae,Asphodelus,Liliaceae,Iridaceae,Erodium,Cytisus,Crassulaceae,Ranunculaceae,Cistaceae,Orobanchaceae,Galium,Apiaceae,Valerian,Cerealia,Polygon,Pinguicola,Droseraceae,Cannabis,Epilobium,Aristolochia,Cyperaceae,Ranunculus,Thalictrum,Lythrum,Juncus,Typha,Pedicularis,Sparganium,Lemna,Nymphaea,Myriophy,Potamogeton,Isoetes,Asplenium,Polypodium,Monolete_ornam,Monolete_indet,Botrychium,Selaginella,Trilete_ornam,Trilete_indet,Chaetomium,Podospora,Sordaria,Glomus,total,herb
323.5,3281.06,1.5,0.1,3.5,24200,83,69767.2444171591,50.7288000617,1128.71580137283,114.139800138825,0,88.775400107975,139.504200169675,50.7288000617,0,12.682200015425,38.046600046275,0,0,0,63.411000077125,12.682200015425,0,0,139.504200169675,190.233000231375,228.27960027765,0,0,0,25.36440003085,0,0,0,0,0,12.682200015425,63.411000077125,0,0,0,0,0,0,0,12.682200015425,329.73720040105,0,25.36440003085,63.411000077125,25.36440003085,0,12.682200015425,0,63.411000077125,12.682200015425,38.046600046275,12.682200015425,0,12.682200015425,380.46600046275,63.411000077125,12.682200015425,0,25.36440003085,0,0,0,0,0,0,76.09320009255,76.09320009255,0,0,25.36440003085,0,25.36440003085,38.046600046275,25.36440003085,0,12.682200015425,0,0,0,0,0,12.682200015425,12.682200015425,0,0,25.36440003085,12.682200015425,0,0,0,38.046600046275,0,0,0,0,0,0,0,0,25.36440003085,12.682200015425,25.36440003085,0,0,0,12.682200015425,0,12.682200015425,0,76.09320009255,25.36440003085,0,0,0,0,0,0,0,0,12.682200015425,0,0,0,0,3830.02440465835,1458.45300177388
333.5,3379.59,1.6,0.1,2.6,24200,135,59543.9800210675,67.1759152953794,1522.6540800286,78.3719011779426,0,44.7839435302529,100.763872943069,67.1759152953794,0,22.3919717651265,22.3919717651265,0,0,0,67.1759152953794,0,11.1959858825632,0,111.959858825632,123.155844708196,167.939788238448,0,11.1959858825632,0,0,0,0,0,0,11.1959858825632,0,55.9799294128162,11.1959858825632,0,0,0,0,0,0,0,190.331760003575,0,100.763872943069,55.9799294128162,44.7839435302529,22.3919717651265,0,0,55.9799294128162,44.7839435302529,33.5879576476897,11.1959858825632,0,0,246.311689416391,22.3919717651265,0,11.1959858825632,33.5879576476897,0,0,0,22.3919717651265,0,0,111.959858825632,89.5678870605058,0,0,22.3919717651265,0,11.1959858825632,33.5879576476897,0,0,44.7839435302529,0,0,0,0,11.1959858825632,0,0,0,0,0,22.3919717651265,0,0,0,44.7839435302529,0,0,11.1959858825632,0,0,0,0,11.1959858825632,11.1959858825632,33.5879576476897,33.5879576476897,0,0,0,11.1959858825632,0,11.1959858825632,0,67.1759152953794,11.1959858825632,0,0,0,0,11.1959858825632,0,0,11.1959858825632,11.1959858825632,0,0,0,0,3806.6352000715,1309.9303482599
343.5,3474.88,1.5,0.11,3.4,24200,78,69296.0526471131,88.1792361163025,1719.4951042679,73.4826967635854,0,73.4826967635854,235.144629643473,73.4826967635854,0,0,14.6965393527171,0,0,0,58.7861574108683,14.6965393527171,14.6965393527171,0,161.661932879888,220.448090290756,205.751550938039,0,0,0,0,0,0,0,0,0,0,58.7861574108683,0,14.6965393527171,0,0,0,0,0,0,205.751550938039,0,117.572314821737,58.7861574108683,29.3930787054342,0,0,0,117.572314821737,14.6965393527171,14.6965393527171,14.6965393527171,0,0,352.71694446521,73.4826967635854,58.7861574108683,0,29.3930787054342,0,0,0,0,0,0,117.572314821737,73.4826967635854,0,0,29.3930787054342,0,0,73.4826967635854,0,0,29.3930787054342,0,0,0,0,0,14.6965393527171,0,0,0,0,44.0896180581512,0,0,14.6965393527171,44.0896180581512,14.6965393527171,0,0,14.6965393527171,0,0,0,0,58.7861574108683,58.7861574108683,0,0,0,0,14.6965393527171,0,0,0,58.7861574108683,0,0,0,0,14.6965393527171,14.6965393527171,14.6965393527171,14.6965393527171,14.6965393527171,0,0,0,0,0,4585.32027804773,1557.83317138801
353.5,3568.02,1.5,0.11,2.2,24200,104,86953.4650278223,187.380876747143,1873.80876747143,136.277001270649,0,187.380876747143,238.484752223636,34.0692503176623,0,17.0346251588312,0,51.1038754764935,0,0,85.1731257941558,17.0346251588312,0,0,85.1731257941558,51.1038754764935,119.242376111818,0,17.0346251588312,0,0,0,0,17.0346251588312,0,0,17.0346251588312,119.242376111818,0,17.0346251588312,0,0,0,17.0346251588312,0,0,323.657878017792,0,51.1038754764935,187.380876747143,51.1038754764935,17.0346251588312,17.0346251588312,0,119.242376111818,0,0,34.0692503176623,17.0346251588312,0,442.90025412961,51.1038754764935,34.0692503176623,34.0692503176623,17.0346251588312,0,17.0346251588312,0,0,0,0,153.31162642948,102.207750952987,0,0,0,0,34.0692503176623,119.242376111818,0,0,17.0346251588312,0,0,0,0,17.0346251588312,34.0692503176623,0,0,0,0,102.207750952987,0,0,0,34.0692503176623,0,0,0,0,0,0,0,0,34.0692503176623,51.1038754764935,34.0692503176623,0,0,0,0,0,0,0,153.31162642948,17.0346251588312,0,0,0,0,17.0346251588312,0,0,0,17.0346251588312,0,0,0,0,5314.80304955532,2027.12039390091
363.5,3661.15,1.4,0.11,2.8,24200,89,76811.4888733856,321.144154305215,1766.29284867869,87.5847693559679,0,87.5847693559679,131.377154033952,43.7923846779839,0,29.194923118656,14.597461559328,0,0,0,72.9873077966399,14.597461559328,0,0,116.779692474624,102.182230915296,218.96192338992,0,29.194923118656,0,0,0,0,14.597461559328,0,14.597461559328,29.194923118656,29.194923118656,0,0,0,0,0,14.597461559328,0,0,306.546692745887,0,43.7923846779839,72.9873077966399,43.7923846779839,0,0,0,72.9873077966399,14.597461559328,29.194923118656,0,0,0,321.144154305215,43.7923846779839,29.194923118656,58.3898462373119,29.194923118656,0,0,0,14.597461559328,14.597461559328,0,72.9873077966399,72.9873077966399,0,0,0,0,43.7923846779839,102.182230915296,0,0,0,0,0,0,0,0,0,14.597461559328,0,0,0,29.194923118656,0,0,0,87.5847693559679,0,0,0,0,0,0,0,0,0,29.194923118656,29.194923118656,0,0,0,0,0,0,0,102.182230915296,14.597461559328,0,0,0,0,29.194923118656,0,0,0,14.597461559328,0,0,0,0,4656.59023742563,1518.13600217011
377,3786.89,1.7,0.11,3.7,24200,68,229460.645275404,245.789690580036,2089.21236993031,35.1128129400051,0,122.894845290018,333.571722930049,70.2256258800103,0,17.5564064700026,0,17.5564064700026,0,0,17.5564064700026,0,0,0,17.5564064700026,52.6692194100077,52.6692194100077,0,0,0,17.5564064700026,0,0,17.5564064700026,0,0,17.5564064700026,70.2256258800103,0,0,17.5564064700026,0,0,0,0,0,526.692194100077,0,17.5564064700026,70.2256258800103,17.5564064700026,0,0,0,140.451251760021,17.5564064700026,0,52.6692194100077,0,0,491.579381160072,87.7820323500128,17.5564064700026,52.6692194100077,52.6692194100077,0,0,17.5564064700026,17.5564064700026,0,0,105.338438820015,105.338438820015,0,0,0,0,0,35.1128129400051,0,0,0,0,0,0,0,0,87.7820323500128,17.5564064700026,17.5564064700026,0,17.5564064700026,17.5564064700026,0,0,0,0,0,0,0,0,0,0,0,0,35.1128129400051,35.1128129400051,0,0,0,0,0,0,0,0,158.007658230023,52.6692194100077,0,0,0,0,35.1128129400051,0,0,0,0,0,0,0,0,5196.69631512076,1983.87393111029
382,3833.46,1.4,0.11,2.2,24200,3,87014.5911106548,1102.32952138925,39683.8627700131,4960.48284625163,0,6062.81236764089,4409.31808555701,0,0,1102.32952138925,1102.32952138925,0,0,0,3306.98856416776,0,0,0,4409.31808555701,6062.81236764089,22046.590427785,551.164760694626,0,0,1102.32952138925,0,0,1102.32952138925,0,0,551.164760694626,551.164760694626,0,0,0,0,0,1102.32952138925,0,1102.32952138925,12676.7894959764,0,7716.30664972476,0,0,0,551.164760694626,0,4960.48284625163,1102.32952138925,1653.49428208388,551.164760694626,0,551.164760694626,7716.30664972476,1102.32952138925,551.164760694626,0,6062.81236764089,0,0,0,0,0,0,4409.31808555701,6062.81236764089,551.164760694626,0,0,0,1653.49428208388,2755.82380347313,0,0,0,0,0,0,551.164760694626,0,0,0,0,0,0,551.164760694626,0,0,551.164760694626,0,0,551.164760694626,0,0,0,0,0,0,1653.49428208388,0,0,0,0,0,551.164760694626,0,0,0,2204.6590427785,0,0,0,0,0,551.164760694626,0,0,0,0,0,0,0,0,163144.769165609,62832.7827191874
392,3926.59,1.5,0.11,2.7,24200,12,61736.0894167778,360.881688550053,10465.5689679515,240.587792366702,0,1323.23285801686,1684.11454656691,120.293896183351,0,0,0,0,0,0,120.293896183351,120.293896183351,0,0,1443.52675420021,1443.52675420021,3007.34740458377,0,0,0,0,0,240.587792366702,120.293896183351,0,0,0,481.175584733404,0,0,0,0,0,0,0,0,3608.81688550053,0,962.351169466807,360.881688550053,0,0,0,0,360.881688550053,0,120.293896183351,120.293896183351,0,0,3608.81688550053,360.881688550053,360.881688550053,120.293896183351,240.587792366702,0,0,120.293896183351,0,0,0,1443.52675420021,842.057273283456,240.587792366702,0,0,0,721.763377100105,1202.93896183351,0,0,120.293896183351,120.293896183351,0,0,0,0,240.587792366702,120.293896183351,0,0,0,240.587792366702,0,0,120.293896183351,0,0,0,0,0,0,0,0,0,240.587792366702,360.881688550053,240.587792366702,0,0,0,0,0,0,0,601.469480916754,360.881688550053,0,0,0,0,120.293896183351,0,0,120.293896183351,0,0,0,0,0,36930.2261282887,15758.500400019
402,4019.73,1.4,0.11,3,24200,2,61504.7843335707,1818.84371029227,58809.2799661166,3031.40618382044,0,11519.3434985177,4850.24989411271,606.281236764089,0,606.281236764089,606.281236764089,0,0,606.281236764089,1212.56247352818,1212.56247352818,0,0,6062.81236764089,6062.81236764089,3031.40618382044,0,0,0,0,0,0,606.281236764089,606.281236764089,0,0,1212.56247352818,606.281236764089,0,0,0,0,606.281236764089,0,0,10306.7810249895,0,4243.96865734862,606.281236764089,3031.40618382044,606.281236764089,606.281236764089,0,3031.40618382044,1818.84371029227,0,1212.56247352818,0,606.281236764089,21826.1245235072,1212.56247352818,1818.84371029227,606.281236764089,2425.12494705635,0,0,606.281236764089,606.281236764089,0,0,5456.5311308768,3637.68742058453,606.281236764089,0,0,0,1818.84371029227,3637.68742058453,0,0,0,0,0,0,0,0,1212.56247352818,0,0,0,0,4243.96865734862,0,0,0,1212.56247352818,0,0,0,0,0,0,0,606.281236764089,1818.84371029227,1212.56247352818,606.281236764089,0,0,0,0,0,0,0,4243.96865734862,1212.56247352818,0,0,0,0,606.281236764089,0,0,0,0,0,0,0,0,181278.089792463,77603.9983058033
408,4075.61,1.5,0.11,4.2,24200,1,70129.1824658499,2783.94445452898,60318.7965147945,5567.88890905796,0,22271.5556362318,11135.7778181159,0,0,0,2783.94445452898,0,0,927.981484842993,3711.92593937197,927.981484842993,0,0,12991.7407878019,13919.7222726449,17631.6482120169,0,0,0,0,0,927.981484842993,0,0,0,0,0,0,0,0,0,0,0,0,0,32479.3519695047,0,9279.81484842993,0,927.981484842993,0,0,0,10207.7963332729,927.981484842993,1855.96296968599,0,0,0,27839.4445452898,5567.88890905796,5567.88890905796,1855.96296968599,1855.96296968599,0,0,0,0,0,0,0,5567.88890905796,2783.94445452898,0,0,0,2783.94445452898,16703.6667271739,0,0,0,0,0,0,0,0,927.981484842993,0,0,0,0,927.981484842993,0,0,1855.96296968599,1855.96296968599,0,0,0,0,0,0,0,0,1855.96296968599,927.981484842993,927.981484842993,0,927.981484842993,927.981484842993,1855.96296968599,0,0,0,5567.88890905796,927.981484842993,0,0,0,0,1855.96296968599,0,0,0,1855.96296968599,0,0,0,0,287674.260301328,131773.370847705
418,4168.75,1.5,0.11,3.6,24200,1,95543.4512522181,6495.87039390095,73619.8644642108,8661.16052520126,0,24900.8365099536,3247.93519695047,0,0,0,0,0,0,0,3247.93519695047,1082.64506565016,0,0,9743.80559085142,12991.7407878019,20570.256247353,0,1082.64506565016,0,0,0,0,1082.64506565016,0,0,0,3247.93519695047,0,0,0,0,0,1082.64506565016,0,0,12991.7407878019,0,8661.16052520126,1082.64506565016,0,0,1082.64506565016,0,4330.58026260063,1082.64506565016,1082.64506565016,3247.93519695047,0,0,29231.4167725543,7578.51545955111,7578.51545955111,4330.58026260063,9743.80559085142,0,0,1082.64506565016,1082.64506565016,0,0,8661.16052520126,3247.93519695047,0,0,1082.64506565016,1082.64506565016,3247.93519695047,12991.7407878019,0,0,0,0,0,0,0,0,2165.29013130032,1082.64506565016,0,0,0,10826.4506565016,0,0,0,3247.93519695047,0,0,0,0,0,0,0,0,1082.64506565016,2165.29013130032,1082.64506565016,0,0,0,0,1082.64506565016,0,0,3247.93519695047,1082.64506565016,0,0,0,0,1082.64506565016,0,0,0,0,0,0,0,0,312884.423972896,141826.503600171
428,4336.2,1.5,0.05,3.5,24200,1,34198.8717597423,1911.78406846611,35368.0052666231,1911.78406846611,0,16250.164581962,1911.78406846611,477.946017116528,0,0,477.946017116528,0,0,477.946017116528,2867.67610269917,477.946017116528,0,0,5735.35220539834,10036.8663594471,14338.3805134958,0,0,0,477.946017116528,0,0,1433.83805134958,0,0,0,477.946017116528,0,0,0,0,0,0,0,0,4301.51415404875,0,3823.56813693222,0,477.946017116528,0,0,477.946017116528,1911.78406846611,477.946017116528,0,955.892034233056,0,477.946017116528,21029.6247531272,2867.67610269917,1911.78406846611,0,955.892034233056,0,0,477.946017116528,477.946017116528,0,0,4779.46017116528,477.946017116528,1433.83805134958,0,0,0,1911.78406846611,2867.67610269917,0,0,0,0,0,0,0,0,0,0,0,0,0,5735.35220539834,0,0,0,1433.83805134958,477.946017116528,0,0,0,0,0,0,0,955.892034233056,1433.83805134958,477.946017116528,0,0,0,0,0,0,0,2389.73008558264,477.946017116528,0,0,0,0,477.946017116528,0,0,0,0,0,0,0,0,154376.563528639,59743.252139566
