depth,cal BP,density,accrate,weight,lycadd,lyc,Abies,Pinus,Juniperus,Betula,Corylus,Carpinus,Castanea,Acer,Salix,Alnus,Fraxinus,Fagus,Tilia,Populus,Juglans,Dec_Querc,Ever_Querc,Ulmus,Sorbus,Rhamnus,Buxus,Tamarix,Ephedra distachya,Ephedra fragilis,Ericacea,Phillyrea,Other Oleaceae,Myrtus,Pistacia,Olea,Prunus-type,Genista,Poaceae,Artemisia,Cichorioideae,Asteroideae,Carduaceae,Chenopodiaceae,Caryophyllaceae,Plantago,Brassicaceae,Gentiana,Fabaceae other,Fabaceae trifolium type,Fabaceae lotus type,Cistacea,Linum,Lamiaceae,Rumex,Galium,Scrophulariaceae,Geraniaceae,Iridaceae,Liliacea,Saxifragaceae,Rosaceae,Ranunculaceae,Poligonaceae,Apiaceae,Boraginaceae,Rubiaceae,Crassulaceae,Sedum,Urtica,Primulaceae,Campanulaceae,Helianthemum,Asphodelus,Ranunculus,Thalictrum,Cyperaceae,Typha,Myriophyllum,Potamogeton,Callitriche,Juncus,Pteridophyte monolete ornament,Ptheridophyte monolete lisa,Pteridophyte trilete,Glomus,Sordariales
220,2987.43,2,0.09,2.1,41696,139,59,196,,,31,,,,,1,,,3,,2,0,2,,,,,,,2,3,,,,,,,,1,7,1,1,,5,1,1,1,1,12,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,15,,,,4,4,1,,
226.36,3068.54,1.8,0.09,2.7,41696,118,38,160,1,3,36,,,,,7,,,2,,,6,14,,,,,,,3,7,,,,,,,,3,19,,,,12,,,,,13,,,,,4,,,,,,,,,,,,,,,,,,,,,,5,5,,19,1,,3,,6,1,,
232.71,3136.81,1.8,0.09,1.7,41696,162,34,147,,,72,,,,1,7,,,2,,5,0,3,,,,,,,1,3,,,,,,,,1,11,1,4,,15,1,,,,31,,,,,3,,,,1,,,,,,,,,,,,,,,,,,1,,1,25,,,,4,1,1,,
246.69,3287.62,1.9,0.09,1.7,41696,109,33,185,,,43,,,,1,5,,,2,,2,2,2,,,,,,,1,3,,,,,,,,4,10,1,3,,17,2,1,2,,24,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,10,,,,1,1,,,
259.41,3425.51,2,0.09,1.9,41696,115,37,145,1,1,53,,,,1,5,,,3,,3,2,11,,,,,,,1,1,,,,,,,,2,11,3,1,,11,2,,1,,18,,,,,8,,,1,,,,,,,,,,,,,,,,,,,1,1,,25,,,,4,1,1,,
284.83,3700.04,1.9,0.09,2.5,41696,138,60,186,1,,32,,,,,3,,,4,,,1,1,,,,,1,,1,,,,,,,,,3,,,4,,7,,,,,15,,,,,8,,,,,,,,,,,,,,,,,,,,,,2,1,,17,,,,3,4,2,,
297.54,3961.88,2.2,0.05,2.8,41696,89,43,185,1,2,40,,,,1,15,,,4,,,4,6,,,,,,,,2,,1,,,,,,1,4,2,1,,8,,,2,,14,,,,,5,,,,,,,,,,,,,,,,,,,,,,3,1,,18,,,,3,4,1,,1
310.25,4238.56,1.9,0.05,2.8,41696,85,52,196,1,1,38,,,,2,8,,1,3,,2,6,4,,,1,,,,2,3,,1,,,1,,,2,8,3,,,3,1,,,,13,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,1,,10,,,1,2,3,1,,
329.32,4642.08,1.9,0.05,2.3,41696,233,27,273,3,,18,,,,,3,,,7,,,2,3,,,3,,,,,5,,,,,,,,,3,2,1,,4,,,,,3,,,,,8,1,,,,,,2,6,1,,,,,,,,,,,,,1,2,1,10,,,,1,4,,,
340.76,4858.44,1.9,0.05,2.3,41696,93,43,163,2,4,32,2,,,,17,,,3,,,1,1,2,,,,,,1,1,,,,,,,,11,3,1,2,,4,,1,,,2,,,,,17,,,4,,,,,7,1,,,,,,,,,,,,,1,,,,,,,3,6,1,,
348.39,5002.43,1.8,0.05,3.7,41696,35,43,202,12,7,25,,,,1,12,,,,,1,2,2,4,,,1,,,1,,,,,,,,,17,11,1,1,,5,,,,,4,,,,,,,,3,,1,,,12,1,,,,,,,,,,,1,,1,1,,3,,,,,1,1,,2
354.75,5123.2,1.8,0.05,3.2,41696,92,29,265,2,2,47,8,,,,6,1,,6,,1,3,,3,,2,,,,,2,,,,,,,,5,12,,,,3,,,,,7,,,,,19,1,,,,,,1,3,,,,,,,,,,,,,,,,,12,,,1,3,8,1,,
361.1,5243.69,1.8,0.05,2.7,41696,120,41,211,13,3,11,,,,,11,,,2,,,0,2,1,,,,,,,,,,,,,,,11,5,5,,,3,,1,,,3,,,,,2,,1,1,,,1,,10,,,,1,,,,,,,,,,,,1,,,,,,6,,,
367.46,5363.74,1.8,0.05,3.4,41696,70,15,139,4,8,69,8,,,,23,3,,6,,1,10,4,5,,,,,,1,3,,,,,,,,13,13,3,2,,9,,,1,,,,2,,1,11,,,7,1,1,,,4,,,2,1,,,,,,,,,,2,1,,4,,,,2,6,1,,2
